Theta(deg),Phi(deg),Freq(kT),mstar(me),Curv(kTA2),Type(+e-h),NumOrbCopy
  0.000000,  0.000000,  5.193040E-02,  9.784162E-02, -4.239818E+00, 1.000,  128
  0.000000,  0.000000,  5.198987E-02,  9.803002E-02, -4.207883E+00, 1.000,  136
  0.000000,  0.000000,  5.213645E-02,  9.526057E-02, -4.193875E+00, 1.000,  128
  0.000000,  0.000000,  8.367805E-02,  3.913641E-01, -4.407547E+00, 1.000,   98
  0.000000,  0.000000,  8.370244E-02,  3.889342E-01, -4.406880E+00, 1.000,   98
  0.000000,  0.000000,  8.376866E-02,  3.825185E-01, -4.515672E+00, 1.000,  112
  0.000000,  0.000000,  8.379670E-02,  3.806321E-01, -4.708420E+00, 1.000,  112
  0.000000,  0.000000,  8.631034E-02,  3.589260E-01, -6.202157E+00, 1.000,  112
  0.000000,  0.000000,  8.631063E-02,  3.627138E-01, -6.227793E+00, 1.000,  112
  0.000000,  0.334572,  5.192275E-02,  9.779823E-02, -4.237510E+00, 1.000,  128
  0.000000,  0.334572,  5.198719E-02,  9.807026E-02, -4.212563E+00, 1.000,  136
  0.000000,  0.334572,  5.212120E-02,  9.533449E-02, -4.182290E+00, 1.000,  128
  0.000000,  0.334572,  8.374293E-02,  3.942073E-01, -4.837370E+00, 1.000,   98
  0.000000,  0.334572,  8.376803E-02,  3.891969E-01, -4.697121E+00, 1.000,  106
  0.000000,  0.334572,  8.378702E-02,  3.858557E-01, -4.748589E+00, 1.000,  112
  0.000000,  0.334572,  8.381237E-02,  3.818650E-01, -4.859687E+00, 1.000,  112
  0.000000,  0.334572,  8.630854E-02,  3.626032E-01, -6.282457E+00, 1.000,  112
  0.000000,  0.334572,  8.632534E-02,  3.648148E-01, -6.269810E+00, 1.000,  112
  0.000000,  0.669145,  5.192595E-02,  9.784762E-02, -4.238150E+00, 1.000,  128
  0.000000,  0.669145,  5.198965E-02,  9.804485E-02, -4.211916E+00, 1.000,  136
  0.000000,  0.669145,  5.212504E-02,  9.540479E-02, -4.186214E+00, 1.000,  128
  0.000000,  0.669145,  8.375099E-02,  3.927946E-01, -4.895118E+00, 1.000,  102
  0.000000,  0.669145,  8.375704E-02,  3.893890E-01, -4.856515E+00, 1.000,  110
  0.000000,  0.669145,  8.379178E-02,  3.863573E-01, -4.958515E+00, 1.000,  116
  0.000000,  0.669145,  8.381617E-02,  3.814892E-01, -5.058506E+00, 1.000,  114
  0.000000,  0.669145,  8.631610E-02,  3.632480E-01, -6.382115E+00, 1.000,  116
  0.000000,  0.669145,  8.631956E-02,  3.646705E-01, -6.313673E+00, 1.000,  114
  0.000000,  1.003717,  5.193058E-02,  9.789217E-02, -4.239372E+00, 1.000,  128
  0.000000,  1.003717,  5.199378E-02,  9.803898E-02, -4.211060E+00, 1.000,  136
  0.000000,  1.003717,  5.212947E-02,  9.523444E-02, -4.182203E+00, 1.000,  128
  0.000000,  1.003717,  8.378226E-02,  3.919612E-01, -5.198214E+00, 1.000,  106
  0.000000,  1.003717,  8.378580E-02,  3.886242E-01, -4.978504E+00, 1.000,  112
  0.000000,  1.003717,  8.380309E-02,  3.859392E-01, -5.177776E+00, 1.000,  118
  0.000000,  1.003717,  8.382497E-02,  3.821103E-01, -5.230886E+00, 1.000,  118
  0.000000,  1.003717,  8.631996E-02,  3.629913E-01, -6.441501E+00, 1.000,  118
  0.000000,  1.003717,  8.632920E-02,  3.651415E-01, -6.372954E+00, 1.000,  117
  0.000000,  1.338290,  5.193463E-02,  9.791770E-02, -4.241646E+00, 1.000,  128
